设备IP,域名,客户端IP,端口,类型,时间
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,61695,A,2019-08-20 08:31:05
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,65448,A,2019-08-20 08:31:36
192.168.200.3,s.f.360.cn,192.168.200.197,49384,A,2019-08-20 08:32:02
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,64092,A,2019-08-20 08:32:06
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,55124,A,2019-08-20 08:32:39
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,55566,A,2019-08-20 08:33:22
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,58082,A,2019-08-20 08:34:05
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,59541,A,2019-08-20 08:34:42
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,51356,A,2019-08-20 08:35:22
192.168.200.3,p.f.360.cn,192.168.200.197,51192,A,2019-08-20 08:35:37
192.168.200.3,android.clients.google.com,192.168.200.197,57912,A,2019-08-20 08:35:52
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,62086,A,2019-08-20 08:36:01
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,57099,A,2019-08-20 08:36:39
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,50495,A,2019-08-20 08:37:10
192.168.200.3,clients4.google.com,192.168.200.197,58838,A,2019-08-20 08:37:49
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,58703,A,2019-08-20 08:37:52
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,64290,A,2019-08-20 08:38:26
192.168.200.3,sconf.f.360.cn,192.168.200.197,49320,A,2019-08-20 08:38:28
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,52212,A,2019-08-20 08:39:10
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,53389,A,2019-08-20 08:39:54
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,57920,A,2019-08-20 08:40:26
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,57081,A,2019-08-20 08:41:06
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,61741,A,2019-08-20 08:41:43
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,50009,A,2019-08-20 08:42:15
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,56895,A,2019-08-20 08:42:59
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,57301,A,2019-08-20 08:43:31
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,51188,A,2019-08-20 08:44:08
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,60943,A,2019-08-20 08:44:53
192.168.200.3,d.skconf.f.360.cn,192.168.200.197,51542,A,2019-08-20 08:45:09
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,54819,A,2019-08-20 08:45:24
192.168.200.3,mtalk.google.com,192.168.200.197,52165,A,2019-08-20 08:45:52
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,52463,A,2019-08-20 08:46:08
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,62579,A,2019-08-20 08:46:39
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,60609,A,2019-08-20 08:47:16
192.168.200.3,tjv1.ejie.me,192.168.200.197,62029,A,2019-08-20 08:47:31
192.168.200.3,android.clients.google.com,192.168.200.197,57084,A,2019-08-20 08:47:37
192.168.200.3,mtalk.google.com,192.168.200.197,57273,A,2019-08-20 08:47:51
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,57137,A,2019-08-20 08:47:59
192.168.200.3,clients4.google.com,192.168.200.197,64772,A,2019-08-20 08:48:10
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,53395,A,2019-08-20 08:48:42
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,60195,A,2019-08-20 08:49:20
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,49959,A,2019-08-20 08:49:59
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,56694,A,2019-08-20 08:50:36
192.168.200.3,p.f.360.cn,192.168.200.197,51557,A,2019-08-20 08:50:38
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,52388,A,2019-08-20 08:51:08
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,61820,A,2019-08-20 08:51:42
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,50379,A,2019-08-20 08:52:22
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,54857,A,2019-08-20 08:52:57
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,62355,A,2019-08-20 08:53:36
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,62578,A,2019-08-20 08:54:08
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,49788,A,2019-08-20 08:54:51
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,65361,A,2019-08-20 08:55:27
192.168.200.3,mtalk.google.com,192.168.200.197,64555,A,2019-08-20 08:55:30
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,58543,A,2019-08-20 08:56:01
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,63114,A,2019-08-20 08:56:41
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,53961,A,2019-08-20 08:57:15
192.168.200.3,mtalk.google.com,192.168.200.197,51620,A,2019-08-20 08:57:29
192.168.200.3,android.clients.google.com,192.168.200.197,57872,A,2019-08-20 08:57:49
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,56997,A,2019-08-20 08:57:51
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,53835,A,2019-08-20 08:58:31
192.168.200.3,clients4.google.com,192.168.200.197,64979,A,2019-08-20 08:58:31
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,51328,A,2019-08-20 08:59:04
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,56691,A,2019-08-20 08:59:41
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,62685,A,2019-08-20 09:00:18
192.168.200.3,updatem.360safe.com,192.168.200.197,63316,A,2019-08-20 09:00:28
192.168.200.3,src.dl.360safe.com,192.168.200.197,65176,A,2019-08-20 09:00:28
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,59070,A,2019-08-20 09:01:01
192.168.200.3,mtalk.google.com,192.168.200.197,64027,A,2019-08-20 09:01:31
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,50069,A,2019-08-20 09:01:40
192.168.200.3,s.f.360.cn,192.168.200.197,54624,A,2019-08-20 09:02:05
192.168.200.3,tconf2.f.360.cn,192.168.200.197,57279,A,2019-08-20 09:02:05
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,51785,A,2019-08-20 09:02:14
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,51416,A,2019-08-20 09:02:52
192.168.200.3,wsus.f.360.cn,192.168.200.197,51532,A,2019-08-20 09:03:25
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,57930,A,2019-08-20 09:03:34
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,49361,A,2019-08-20 09:04:16
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,53095,A,2019-08-20 09:04:48
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,61310,A,2019-08-20 09:05:26
192.168.200.3,p.f.360.cn,192.168.200.197,62699,A,2019-08-20 09:05:38
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,64174,A,2019-08-20 09:06:10
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,50855,A,2019-08-20 09:06:43
192.168.200.3,mtalk.google.com,192.168.200.197,52573,A,2019-08-20 09:07:16
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,58314,A,2019-08-20 09:07:17
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,52528,A,2019-08-20 09:08:02
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,56891,A,2019-08-20 09:08:42
192.168.200.3,clients4.google.com,192.168.200.197,60208,A,2019-08-20 09:08:52
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,57052,A,2019-08-20 09:09:18
192.168.200.3,android.clients.google.com,192.168.200.197,56662,A,2019-08-20 09:09:34
192.168.200.3,client.teamviewer.com,192.168.200.197,59315,A,2019-08-20 09:09:34
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,61173,A,2019-08-20 09:09:54
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,62201,A,2019-08-20 09:10:35
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,50107,A,2019-08-20 09:11:07
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,50997,A,2019-08-20 09:11:48
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,61935,A,2019-08-20 09:12:22
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,54476,A,2019-08-20 09:13:05
192.168.200.3,teredo.ipv6.microsoft.com,192.168.200.197,59617,A,2019-08-20 09:13:46
